,Formula,Num_Runs,Run_Names,Avg_Score
6236,C35H70NO9P,6,"bigmed, large, large, large, med, tiny",66.53500000000001
1536,C18H35NO,6,"bigmed, large, large, large, med, tiny",89.13499999999999
6193,C35H67N2O6P,6,"bigmed, large, large, large, med, tiny",70.84333333333333
15267,C9H15NO5,6,"bigmed, bigmed, large, large, med, tiny",68.81166666666667
5008,C31H52O11,5,"bigmed, large, large, med, tiny",69.90599999999999
3854,C27H45NO,5,"bigmed, large, large, med, tiny",63.848
7400,C40H67NO6,5,"bigmed, large, large, med, tiny",73.048
6175,C35H65NO4,5,"bigmed, large, large, med, tiny",54.55800000000001
9730,C48H81O8P,5,"large, large, large, large, tiny",54.367999999999995
6128,C35H61NO5,5,"bigmed, large, large, med, tiny",76.882
6181,C35H65O9P,5,"bigmed, large, large, med, tiny",57.86
3721,C27H34O4,5,"bigmed, large, large, med, tiny",72.64399999999999
7456,C40H71NO9,5,"bigmed, large, large, med, tiny",64.2
3989,C27H53O9P,5,"bigmed, large, large, med, tiny",67.616
1099,C16H28O4,5,"bigmed, large, large, med, tiny",72.494
5007,C31H52O10,5,"bigmed, large, large, med, tiny",76.032
9910,C49H68O4,5,"bigmed, large, large, med, tiny",70.872
7522,C40H76O10,5,"bigmed, large, large, large, tiny",60.612
4072,C28H40O6,5,"large, large, large, med, tiny",58.512
7524,C40H76O12S,5,"bigmed, large, large, med, tiny",61.568000000000005
699,C14H24O2,5,"bigmed, large, large, med, tiny",98.922
6121,C35H60O8,5,"bigmed, large, large, med, tiny",62.862
1942,C20H31NO6,5,"bigmed, large, large, med, tiny",85.724
9478,C47H81O8P,5,"bigmed, large, large, med, tiny",67.73
4183,C28H48O4,5,"bigmed, large, large, med, tiny",79.50399999999999
1233,C17H24O3,5,"bigmed, large, large, med, tiny",72.796
4217,C28H50O5,5,"bigmed, large, large, large, tiny",63.79600000000001
9841,C48H91NO9,5,"bigmed, large, large, large, med",53.524
6390,C36H64N7O18P3S,5,"bigmed, large, large, med, tiny",83.76
9941,C49H76O4,5,"bigmed, large, large, med, tiny",71.664
727,C14H26O,5,"bigmed, large, large, med, tiny",86.244
1076,C16H26O3,5,"bigmed, large, large, large, med",59.248000000000005
3391,C25H51NO4,5,"bigmed, large, large, med, tiny",75.36600000000001
7223,C39H73NO9,5,"bigmed, large, large, med, tiny",70.65
5682,C33H65NO8,5,"bigmed, large, large, large, large",63.448
10340,C50H87O9P,5,"bigmed, large, large, med, tiny",59.722
14143,C70H118O13S,5,"bigmed, large, large, med, tiny",74.69800000000001
3444,C26H34O6,5,"bigmed, large, large, med, tiny",73.17999999999999
1302,C17H33N5O5,5,"bigmed, large, large, med, tiny",82.36800000000001
10251,C50H78O4,5,"bigmed, large, large, med, tiny",59.64
10245,C50H78NO8P,5,"bigmed, large, large, med, tiny",54.2
