Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C41H73O7P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",708.5086714285715,19.103714285714286,67.79428571428572,7,"bigmed, large, large, large, large, med, tiny",7
C26H53N2O6P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",520.3637571428571,19.341571428571427,79.1557142857143,7,"bigmed, large, large, large, large, med, tiny",7
C36H69NO9,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",659.4975999999999,18.618,68.57857142857144,7,"bigmed, large, large, large, large, med, tiny",7
C31H52N2O6,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",548.3851857142857,17.423,72.11571428571429,7,"bigmed, large, large, large, large, med, tiny",7
C41H58O6,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",646.4239,18.176285714285715,75.73428571428572,7,"bigmed, large, large, large, large, med, tiny",7
C33H54O4,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",514.4057142857143,19.512,72.39428571428572,7,"bigmed, large, large, large, large, med, tiny",7
C8H14O4,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",174.0896,13.42,74.94714285714285,7,"bigmed, large, large, large, large, med, tiny",7
C34H66NO9P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",663.4505571428572,18.629142857142856,77.26285714285714,7,"bigmed, large, large, large, large, med, tiny",7
C9H16O,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",140.12017142857144,15.563285714285714,97.89428571428572,7,"bigmed, large, large, large, large, med, tiny",7
C30H49NO7,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",535.3558999999999,18.343,64.23285714285714,7,"bigmed, large, large, large, large, med, tiny",7
C30H52N2O6,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",536.3869000000001,16.34971428571429,62.395714285714284,7,"bigmed, large, large, large, large, med, tiny",7
C41H79O13P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",810.5249000000001,17.734571428571428,74.56714285714285,7,"bigmed, large, large, large, large, med, tiny",7
C42H76NO10P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",785.5243571428572,18.614285714285717,63.98285714285714,7,"bigmed, large, large, large, large, med, tiny",7
C34H63O9P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",646.4239285714285,18.176285714285715,73.0,7,"bigmed, large, large, large, large, med, tiny",7
C23H36O4,"['bigmed', 'large', 'large', 'large', 'med', 'tiny']",376.2608333333333,12.878833333333333,75.87833333333333,6,"bigmed, large, large, large, med, tiny",6
C31H58O10,"['bigmed', 'large', 'large', 'large', 'med', 'tiny']",590.4042000000001,17.959,74.80333333333333,6,"bigmed, large, large, large, med, tiny",6
