refmet_name,formula
FAHFA 15:2/O-26:7,C41H62O4
FAHFA 15:3/O-26:7,C41H60O4
FAHFA 15:4/O-26:7,C41H58O4
FAHFA 15:5/O-21:7,C36H46O4
FAHFA 15:5/O-22:7,C37H48O4
FAHFA 15:5/O-23:7,C38H50O4
FAHFA 15:5/O-24:7,C39H52O4
FAHFA 15:5/O-25:7,C40H54O4
FAHFA 15:5/O-26:7,C41H56O4
FAHFA 16:0/O-26:0,C42H82O4
FAHFA 16:0/O-26:1,C42H80O4
FAHFA 16:0/O-26:2,C42H78O4
FAHFA 16:0/O-26:3,C42H76O4
FAHFA 16:0/O-26:4,C42H74O4
FAHFA 16:0/O-26:5,C42H72O4
FAHFA 16:0/O-26:6,C42H70O4
FAHFA 16:0/O-26:7,C42H68O4
FAHFA 16:1/O-26:7,C42H66O4
FAHFA 16:2/O-26:7,C42H64O4
FAHFA 16:3/O-26:7,C42H62O4
FAHFA 16:4/O-26:7,C42H60O4
FAHFA 16:5/O-26:7,C42H58O4
FAHFA 17:0/O-26:0,C43H84O4
FAHFA 17:0/O-26:1,C43H82O4
FAHFA 17:0/O-26:2,C43H80O4
FAHFA 17:0/O-26:3,C43H78O4
FAHFA 17:0/O-26:4,C43H76O4
FAHFA 17:0/O-26:5,C43H74O4
FAHFA 17:0/O-26:6,C43H72O4
FAHFA 17:0/O-26:7,C43H70O4
FAHFA 17:1/O-26:7,C43H68O4
FAHFA 17:2/O-26:7,C43H66O4
FAHFA 17:3/O-26:7,C43H64O4
FAHFA 17:4/O-26:7,C43H62O4
FAHFA 17:5/O-26:7,C43H60O4
FAHFA 18:0/O-26:0,C44H86O4
FAHFA 18:0/O-26:1,C44H84O4
FAHFA 18:0/O-26:2,C44H82O4
FAHFA 18:0/O-26:3,C44H80O4
FAHFA 18:0/O-26:4,C44H78O4
FAHFA 18:0/O-26:5,C44H76O4
FAHFA 18:0/O-26:6,C44H74O4
FAHFA 18:0/O-26:7,C44H72O4
FAHFA 18:1/O-26:7,C44H70O4
FAHFA 18:2/O-26:7,C44H68O4
FAHFA 18:3/O-26:7,C44H66O4
FAHFA 18:4/O-26:7,C44H64O4
FAHFA 18:5/O-26:7,C44H62O4
FAHFA 18:6/O-21:7,C39H50O4
FAHFA 18:6/O-22:7,C40H52O4
FAHFA 18:6/O-23:7,C41H54O4
FAHFA 18:6/O-24:7,C42H56O4
FAHFA 18:6/O-25:7,C43H58O4
FAHFA 18:6/O-26:7,C44H60O4
FAHFA 19:0/O-26:0,C45H88O4
FAHFA 19:0/O-26:1,C45H86O4
FAHFA 19:0/O-26:2,C45H84O4
FAHFA 19:0/O-26:3,C45H82O4
FAHFA 19:0/O-26:4,C45H80O4
FAHFA 19:0/O-26:5,C45H78O4
FAHFA 19:0/O-26:6,C45H76O4
FAHFA 19:0/O-26:7,C45H74O4
FAHFA 19:1/O-26:7,C45H72O4
FAHFA 19:2/O-26:7,C45H70O4
FAHFA 19:3/O-26:7,C45H68O4
FAHFA 19:4/O-26:7,C45H66O4
FAHFA 19:5/O-26:7,C45H64O4
FAHFA 19:6/O-26:7,C45H62O4
FAHFA 20:0/O-26:0,C46H90O4
FAHFA 20:0/O-26:1,C46H88O4
FAHFA 20:0/O-26:2,C46H86O4
FAHFA 20:0/O-26:3,C46H84O4
FAHFA 20:0/O-26:4,C46H82O4
FAHFA 20:0/O-26:5,C46H80O4
FAHFA 20:0/O-26:6,C46H78O4
FAHFA 20:0/O-26:7,C46H76O4
FAHFA 20:1/O-26:7,C46H74O4
FAHFA 20:2/O-26:7,C46H72O4
FAHFA 20:3/O-26:7,C46H70O4
FAHFA 20:4/O-26:7,C46H68O4
FAHFA 20:5/O-26:7,C46H66O4
FAHFA 20:6/O-26:7,C46H64O4
FAHFA 21:0/O-26:0,C47H92O4
FAHFA 21:0/O-26:1,C47H90O4
FAHFA 21:0/O-26:2,C47H88O4
FAHFA 21:0/O-26:3,C47H86O4
FAHFA 21:0/O-26:4,C47H84O4
FAHFA 21:0/O-26:5,C47H82O4
FAHFA 21:0/O-26:6,C47H80O4
FAHFA 21:0/O-26:7,C47H78O4
FAHFA 21:1/O-26:7,C47H76O4
FAHFA 21:2/O-26:7,C47H74O4
FAHFA 21:3/O-26:7,C47H72O4
FAHFA 21:4/O-26:7,C47H70O4
FAHFA 21:5/O-26:7,C47H68O4
FAHFA 21:6/O-26:7,C47H66O4
FAHFA 21:7/O-21:7,C42H54O4
FAHFA 21:7/O-22:7,C43H56O4
FAHFA 21:7/O-23:7,C44H58O4
FAHFA 21:7/O-24:7,C45H60O4
FAHFA 21:7/O-25:7,C46H62O4
FAHFA 21:7/O-26:7,C47H64O4
FAHFA 22:0/O-26:0,C48H94O4
FAHFA 22:0/O-26:1,C48H92O4
FAHFA 22:0/O-26:2,C48H90O4
FAHFA 22:0/O-26:3,C48H88O4
FAHFA 22:0/O-26:4,C48H86O4
FAHFA 22:0/O-26:5,C48H84O4
FAHFA 22:0/O-26:6,C48H82O4
FAHFA 22:0/O-26:7,C48H80O4
FAHFA 22:1/O-26:7,C48H78O4
FAHFA 22:2/O-26:7,C48H76O4
FAHFA 22:3/O-26:7,C48H74O4
FAHFA 22:4/O-26:7,C48H72O4
FAHFA 22:5/O-26:7,C48H70O4
FAHFA 22:6/O-26:7,C48H68O4
FAHFA 22:7/O-26:7,C48H66O4
FAHFA 23:0/O-26:0,C49H96O4
FAHFA 23:0/O-26:1,C49H94O4
FAHFA 23:0/O-26:2,C49H92O4
FAHFA 23:0/O-26:3,C49H90O4
FAHFA 23:0/O-26:4,C49H88O4
FAHFA 23:0/O-26:5,C49H86O4
FAHFA 23:0/O-26:6,C49H84O4
FAHFA 23:0/O-26:7,C49H82O4
FAHFA 23:1/O-26:7,C49H80O4
FAHFA 23:2/O-26:7,C49H78O4
FAHFA 23:3/O-26:7,C49H76O4
FAHFA 23:4/O-26:7,C49H74O4
FAHFA 23:5/O-26:7,C49H72O4
FAHFA 23:6/O-26:7,C49H70O4
FAHFA 23:7/O-26:7,C49H68O4
FAHFA 24:0/O-26:0,C50H98O4
FAHFA 24:0/O-26:1,C50H96O4
FAHFA 24:0/O-26:2,C50H94O4
FAHFA 24:0/O-26:3,C50H92O4
FAHFA 24:0/O-26:4,C50H90O4
FAHFA 24:0/O-26:5,C50H88O4
FAHFA 24:0/O-26:6,C50H86O4
FAHFA 24:0/O-26:7,C50H84O4
FAHFA 24:1/O-26:7,C50H82O4
FAHFA 24:2/O-26:7,C50H80O4
FAHFA 24:3/O-26:7,C50H78O4
FAHFA 24:4/O-26:7,C50H76O4
FAHFA 24:5/O-26:7,C50H74O4
FAHFA 24:6/O-26:7,C50H72O4
FAHFA 24:7/O-26:7,C50H70O4
FAHFA 25:0/O-26:0,C51H100O4
FAHFA 25:0/O-26:1,C51H98O4
FAHFA 25:0/O-26:2,C51H96O4
FAHFA 25:0/O-26:3,C51H94O4
FAHFA 25:0/O-26:4,C51H92O4
FAHFA 25:0/O-26:5,C51H90O4
FAHFA 25:0/O-26:6,C51H88O4
FAHFA 25:0/O-26:7,C51H86O4
FAHFA 25:1/O-26:7,C51H84O4
FAHFA 25:2/O-26:7,C51H82O4
FAHFA 25:3/O-26:7,C51H80O4
FAHFA 25:4/O-26:7,C51H78O4
FAHFA 25:5/O-26:7,C51H76O4
FAHFA 25:6/O-26:7,C51H74O4
FAHFA 25:7/O-26:7,C51H72O4
FAHFA 26:0/O-26:0,C52H102O4
FAHFA 26:0/O-26:1,C52H100O4
FAHFA 26:0/O-26:2,C52H98O4
FAHFA 26:0/O-26:3,C52H96O4
FAHFA 26:0/O-26:4,C52H94O4
FAHFA 26:0/O-26:5,C52H92O4
FAHFA 26:0/O-26:6,C52H90O4
FAHFA 26:0/O-26:7,C52H88O4
FAHFA 26:1/O-26:7,C52H86O4
FAHFA 26:2/O-26:7,C52H84O4
FAHFA 26:3/O-26:7,C52H82O4
FAHFA 26:4/O-26:7,C52H80O4
FAHFA 26:5/O-26:7,C52H78O4
FAHFA 26:6/O-26:7,C52H76O4
FAHFA 26:7/O-26:7,C52H74O4
FAHFA 53:0;O,C53H104O4
FAHFA 53:10;O,C53H84O4
FAHFA 53:11;O,C53H82O4
FAHFA 53:1;O,C53H102O4
FAHFA 53:2;O,C53H100O4
FAHFA 53:3;O,C53H98O4
FAHFA 53:4;O,C53H96O4
FAHFA 53:5;O,C53H94O4
FAHFA 53:6;O,C53H92O4
FAHFA 53:7;O,C53H90O4
FAHFA 53:8;O,C53H88O4
FAHFA 53:9;O,C53H86O4
FAHFA 54:0;O,C54H106O4
FAHFA 54:10;O,C54H86O4
FAHFA 54:11;O,C54H84O4
FAHFA 54:1;O,C54H104O4
FAHFA 54:2;O,C54H102O4
FAHFA 54:3;O,C54H100O4
FAHFA 54:4;O,C54H98O4
FAHFA 54:5;O,C54H96O4
FAHFA 54:6;O,C54H94O4
FAHFA 54:7;O,C54H92O4
FAHFA 54:8;O,C54H90O4
FAHFA 54:9;O,C54H88O4
FAHFA 55:0;O,C55H108O4
FAHFA 55:10;O,C55H88O4
FAHFA 55:11;O,C55H86O4
FAHFA 55:1;O,C55H106O4
FAHFA 55:2;O,C55H104O4
FAHFA 55:3;O,C55H102O4
FAHFA 55:4;O,C55H100O4
FAHFA 55:5;O,C55H98O4
FAHFA 55:6;O,C55H96O4
FAHFA 55:7;O,C55H94O4
FAHFA 55:8;O,C55H92O4
FAHFA 55:9;O,C55H90O4
FAHFA 56:0;O,C56H110O4
FAHFA 56:10;O,C56H90O4
FAHFA 56:11;O,C56H88O4
FAHFA 56:1;O,C56H108O4
FAHFA 56:2;O,C56H106O4
FAHFA 56:3;O,C56H104O4
FAHFA 56:4;O,C56H102O4
FAHFA 56:5;O,C56H100O4
FAHFA 56:6;O,C56H98O4
FAHFA 56:7;O,C56H96O4
FAHFA 56:8;O,C56H94O4
FAHFA 56:9;O,C56H92O4
FAHFA 57:0;O,C57H112O4
FAHFA 57:10;O,C57H92O4
FAHFA 57:11;O,C57H90O4
FAHFA 57:1;O,C57H110O4
FAHFA 57:2;O,C57H108O4
FAHFA 57:3;O,C57H106O4
FAHFA 57:4;O,C57H104O4
FAHFA 57:5;O,C57H102O4
FAHFA 57:6;O,C57H100O4
FAHFA 57:7;O,C57H98O4
FAHFA 57:8;O,C57H96O4
FAHFA 57:9;O,C57H94O4
FAHFA 58:0;O,C58H114O4
FAHFA 58:10;O,C58H94O4
FAHFA 58:11;O,C58H92O4
FAHFA 58:1;O,C58H112O4
FAHFA 58:2;O,C58H110O4
FAHFA 58:3;O,C58H108O4
FAHFA 58:4;O,C58H106O4
FAHFA 58:5;O,C58H104O4
FAHFA 58:6;O,C58H102O4
FAHFA 58:7;O,C58H100O4
FAHFA 58:8;O,C58H98O4
FAHFA 58:9;O,C58H96O4
FAHFA 59:0;O,C59H116O4
FAHFA 59:10;O,C59H96O4
FAHFA 59:11;O,C59H94O4
FAHFA 59:1;O,C59H114O4
FAHFA 59:2;O,C59H112O4
FAHFA 59:3;O,C59H110O4
FAHFA 59:4;O,C59H108O4
FAHFA 59:5;O,C59H106O4
FAHFA 59:6;O,C59H104O4
FAHFA 59:7;O,C59H102O4
FAHFA 59:8;O,C59H100O4
FAHFA 59:9;O,C59H98O4
FAHFA 60:0;O,C60H118O4
FAHFA 60:10;O,C60H98O4
FAHFA 60:11;O,C60H96O4
FAHFA 60:1;O,C60H116O4
FAHFA 60:2;O,C60H114O4
FAHFA 60:3;O,C60H112O4
FAHFA 60:4;O,C60H110O4
FAHFA 60:5;O,C60H108O4
FAHFA 60:6;O,C60H106O4
FAHFA 60:7;O,C60H104O4
FAHFA 60:8;O,C60H102O4
FAHFA 60:9;O,C60H100O4
FAHFA 61:0;O,C61H120O4
FAHFA 61:10;O,C61H100O4
FAHFA 61:11;O,C61H98O4
FAHFA 61:1;O,C61H118O4
FAHFA 61:2;O,C61H116O4
FAHFA 61:3;O,C61H114O4
FAHFA 61:4;O,C61H112O4
FAHFA 61:5;O,C61H110O4
FAHFA 61:6;O,C61H108O4
FAHFA 61:7;O,C61H106O4
FAHFA 61:8;O,C61H104O4
FAHFA 61:9;O,C61H102O4
FAHFA 62:0;O,C62H122O4
FAHFA 62:10;O,C62H102O4
FAHFA 62:11;O,C62H100O4
FAHFA 62:1;O,C62H120O4
FAHFA 62:2;O,C62H118O4
FAHFA 62:3;O,C62H116O4
FAHFA 62:4;O,C62H114O4
FAHFA 62:5;O,C62H112O4
FAHFA 62:6;O,C62H110O4
FAHFA 62:7;O,C62H108O4
FAHFA 62:8;O,C62H106O4
FAHFA 62:9;O,C62H104O4
FAHFA 63:0;O,C63H124O4
FAHFA 63:10;O,C63H104O4
FAHFA 63:11;O,C63H102O4
FAHFA 63:1;O,C63H122O4
FAHFA 63:2;O,C63H120O4
FAHFA 63:3;O,C63H118O4
FAHFA 63:4;O,C63H116O4
FAHFA 63:5;O,C63H114O4
FAHFA 63:6;O,C63H112O4
FAHFA 63:7;O,C63H110O4
FAHFA 63:8;O,C63H108O4
FAHFA 63:9;O,C63H106O4
FAHFA 64:0;O,C64H126O4
FAHFA 64:10;O,C64H106O4
FAHFA 64:11;O,C64H104O4
FAHFA 64:1;O,C64H124O4
FAHFA 64:2;O,C64H122O4
FAHFA 64:3;O,C64H120O4
FAHFA 64:4;O,C64H118O4
FAHFA 64:5;O,C64H116O4
FAHFA 64:6;O,C64H114O4
FAHFA 64:7;O,C64H112O4
FAHFA 64:8;O,C64H110O4
FAHFA 64:9;O,C64H108O4
FAHFA 65:0;O,C65H128O4
FAHFA 65:10;O,C65H108O4
FAHFA 65:11;O,C65H106O4
FAHFA 65:1;O,C65H126O4
FAHFA 65:2;O,C65H124O4
FAHFA 65:3;O,C65H122O4
FAHFA 65:4;O,C65H120O4
FAHFA 65:5;O,C65H118O4
FAHFA 65:6;O,C65H116O4
FAHFA 65:7;O,C65H114O4
FAHFA 65:8;O,C65H112O4
FAHFA 65:9;O,C65H110O4
FAHFA 66:0;O,C66H130O4
FAHFA 66:10;O,C66H110O4
FAHFA 66:11;O,C66H108O4
FAHFA 66:1;O,C66H128O4
FAHFA 66:2;O,C66H126O4
FAHFA 66:3;O,C66H124O4
FAHFA 66:4;O,C66H122O4
FAHFA 66:5;O,C66H120O4
FAHFA 66:6;O,C66H118O4
FAHFA 66:7;O,C66H116O4
FAHFA 66:8;O,C66H114O4
FAHFA 66:9;O,C66H112O4
FAHFA 67:0;O,C67H132O4
FAHFA 67:10;O,C67H112O4
FAHFA 67:11;O,C67H110O4
FAHFA 67:1;O,C67H130O4
FAHFA 67:2;O,C67H128O4
FAHFA 67:3;O,C67H126O4
FAHFA 67:4;O,C67H124O4
FAHFA 67:5;O,C67H122O4
FAHFA 67:6;O,C67H120O4
FAHFA 67:7;O,C67H118O4
FAHFA 67:8;O,C67H116O4
FAHFA 67:9;O,C67H114O4
FAHFA 68:0;O,C68H134O4
FAHFA 68:10;O,C68H114O4
FAHFA 68:11;O,C68H112O4
FAHFA 68:1;O,C68H132O4
FAHFA 68:2;O,C68H130O4
FAHFA 68:3;O,C68H128O4
FAHFA 68:4;O,C68H126O4
FAHFA 68:5;O,C68H124O4
FAHFA 68:6;O,C68H122O4
FAHFA 68:7;O,C68H120O4
FAHFA 68:8;O,C68H118O4
FAHFA 68:9;O,C68H116O4
FAHFA 8:0/O-8:1,C16H28O4
FAHFA 8:0/O-8:2,C16H26O4
FAHFA 8:0/O-9:2,C17H28O4
FAHFA 8:1/O-8:2,C16H24O4
FAHFA 9:3/O-9:3,C18H22O4
Docosahexaenoylcholine,C27H44NO2
Eicosapentaenoylcholine,C25H42NO2
Acevaltrate,C24H32O10
Ascorbyl palmitate,C22H38O7
Methyl 2-(methylthio)butanoate,C6H12O2S
3-Mercaptohexyl butanoate,C10H20O2S
Arachidyl linolenate,C38H70O2
Behenyl linoleate,C40H76O2
Behenyl linolenate,C40H74O2
Polysorbate 60,C22H42O8
WE 35:7,C35H56O2
WE 42:2,C42H80O2
WE 42:4,C42H76O2
WE 43:5,C43H76O2
WE 44:9,C44H70O2
WE 45:0,C45H90O2
WE 45:1,C45H88O2
WE 46:4,C46H84O2
WE 47:10,C47H74O2
WE 47:12,C47H70O2
WE 47:3,C47H88O2
WE 47:7,C47H80O2
WE 49:11,C49H76O2
WE 50:1,C50H98O2
WE 50:2,C50H96O2
WE 51:1,C51H100O2
WE 52:1,C52H102O2
WE 52:2,C52H100O2
WE 52:3,C52H98O2
WE 53:2,C53H102O2
WE 54:2,C54H104O2
WE 54:3,C54H102O2
WE 55:0,C55H110O2
WE 56:1,C56H110O2
WE 56:2,C56H108O2
"4Z,7Z,10Z-Octadecatrienenitrile",C18H29N
"10,22-Dimethyldotriacontane",C34H70
"13,17,21-Trimethyltritriacontane",C36H74
"13,17-Dimethyl-1-pentatriacontene",C37H74
"13,17-Dimethyl-1-tritriacontene",C35H70
"1,3-Butadiene",C4H6
13-Methyl-1-hentriacontene,C32H64
13-Methyl-1-tritriacontene,C34H68
13-Methylheptatriacontane,C38H78
"1,3-Octadiene",C8H14
"1,4-Dimethylcyclohexane",C8H16
15-Methyltetratriacontane,C35H72
1-Dodecene,C12H24
1-Nonene,C9H18
1-Octadecene,C18H36
1-Tetradecene,C14H28
1-Tridecene,C13H26
"1-Tridecene-3,5,7,9,11-pentayne",C13H6
(21-Methyl-8Z-pentatriacontene,C36H72
"2,3,4-Trimethyl-pentane",C8H18
"2,6,10-Trimethyl-2,4Z,6Z,10Z-dodecatetraene",C15H24
2E-Hexene,C6H12
3-Ethylpentane,C7H16
3-Methyl-3-ethyldecane,C13H28
"3Z,6Z,9Z-Pentacosatriene",C25H46
"6Z,9Z,20-Heneicosatriene",C21H38
"7Z,11Z-Heptacosadiene",C27H52
7Z-Heneicosene,C21H42
9Z-Tritriacontene,C33H66
Butane,C4H10
Eicosane,C20H42
Heneicosane,C21H44
Heptacosane,C27H56
Heptadecane,C17H36
Hexadecane,C16H34
Hexane,C6H14
Lignocerane,C24H50
Methane,CH4
Methylcyclohexane,C7H14
N-Decane,C10H22
N-Dodecane,C12H26
Nonacosane,C29H60
Nonadecane,C19H40
Nonane,C9H20
Octadecane,C18H38
Pentadecane,C15H32
Pentane,C5H12
Propane,C3H8
Tetradecane,C14H30
trans-2-trans-4-Nonadiene,C12H22
Undecane,C11H24
"1,13-Tetradecadien-3-one",C14H26O
2-Tridecanone,C13H26O
2-Undecanone,C11H22O
3E-Octen-2-one,C8H14O
"6Z,9Z-Heneicosadien-11-one",C21H38O
8-Nonen-2-one,C9H16O
Hentriacontan-16-one,C31H62O
Methyl propenyl ketone,C5H8O
Nonacosan-10-one,C29H58O
Propene,C3H6
"9S,10R-Dihydroxystearic acid",C18H36O4
"9-Hydroperoxy-12,13-epoxy-10-octadecenoic acid",C18H32O5
12-Hydroxyjasmonic acid,C12H18O4
cis-Jasmone,C11H16O
Phloionolic acid,C18H36O5
Sativic acid,C18H36O6
"11,12,13-TriHOME",C18H34O5
N-Decanohydroxamic acid,C10H21NO2
"1,2-DG 30:0",C33H64O5
"1,2-DG 30:1",C33H62O5
"1,2-DG 30:2",C33H60O5
"1,2-DG 32:0",C35H68O5
"1,2-DG 32:1",C35H66O5
"1,2-DG 32:2",C35H64O5
"1,2-DG 32:3",C35H62O5
"1,2-DG 32:4",C35H60O5
"1,2-DG 32:5",C35H58O5
"1,2-DG 33:0",C36H70O5
"1,2-DG 33:1",C36H68O5
"1,2-DG 34:0",C37H72O5
"1,2-DG 34:1",C37H70O5
"1,2-DG 34:2",C37H68O5
"1,2-DG 34:3",C37H66O5
"1,2-DG 34:4",C37H64O5
"1,2-DG 35:0",C38H74O5
"1,2-DG 35:1",C38H72O5
"1,2-DG 35:2",C38H70O5
"1,2-DG 35:3",C38H68O5
"1,2-DG 35:4",C38H66O5
"1,2-DG 36:0",C39H76O5
"1,2-DG 36:1",C39H74O5
"1,2-DG 36:2",C39H72O5
"1,2-DG 36:3",C39H70O5
"1,2-DG 36:4",C39H68O5
"1,2-DG 36:5",C39H66O5
"1,2-DG 37:0",C40H78O5
"1,2-DG 37:1",C40H76O5
"1,2-DG 37:2",C40H74O5
"1,2-DG 37:3",C40H72O5
"1,2-DG 37:4",C40H70O5
"1,2-DG 37:5",C40H68O5
"1,2-DG 38:0",C41H80O5
"1,2-DG 38:1",C41H78O5
"1,2-DG 38:2",C41H76O5
"1,2-DG 38:3",C41H74O5
"1,2-DG 38:4",C41H72O5
"1,2-DG 38:5",C41H70O5
"1,2-DG 38:6",C41H68O5
"1,2-DG 40:0",C43H84O5
"1,2-DG 40:1",C43H82O5
"1,2-DG 40:2",C43H80O5
"1,2-DG 40:3",C43H78O5
"1,2-DG 40:4",C43H76O5
"1,2-DG 40:5",C43H74O5
"1,2-DG 40:6",C43H72O5
"1,2-DG 40:7",C43H70O5
DG 0:0/12:0/12:0,C27H52O5
DG 0:0/14:0/14:0,C31H60O5
DG 0:0/6:0/6:0,C15H28O5
DG 10:0_10:0,C23H44O5
DG 10:0_11:0,C24H46O5
DG 10:0_12:0,C25H48O5
DG 10:0_13:0,C26H50O5
DG 10:0_14:1,C27H50O5
DG 10:0_15:0,C28H54O5
DG 10:0_15:1,C28H52O5
DG 10:0_16:0,C29H56O5
DG 10:0_16:1,C29H54O5
DG 10:0_17:0,C30H58O5
DG 10:0_17:1,C30H56O5
DG 10:0_17:2,C30H54O5
DG 10:0_18:1,C31H58O5
DG 10:0_18:2,C31H56O5
DG 10:0_18:3,C31H54O5
DG 10:0_18:4,C31H52O5
DG 10:0_19:0,C32H62O5
DG 10:0_20:3,C33H58O5
DG 10:0_20:4,C33H56O5
DG 10:0_20:5,C33H54O5
DG 10:0_21:0,C34H66O5
DG 10:0_22:6,C35H56O5
DG 10:0_29:0,C42H82O5
DG 10:0_31:0,C44H86O5
DG 10:0_32:0,C45H88O5
DG 10:0_33:0,C46H90O5
DG 10:0_34:0,C47H92O5
DG 10:0_35:0,C48H94O5
DG 10:0_36:0,C49H96O5
DG 10:0_37:0,C50H98O5
DG 10:0_38:0,C51H100O5
DG 10:0_39:0,C52H102O5
DG 10:1_22:6,C35H54O5
DG 10:2_12:0,C25H44O5
DG 10:3_14:1,C27H44O5
DG 11:0_18:1,C32H60O5
DG 11:0_18:2,C32H58O5
DG 11:0_18:3,C32H56O5
DG 11:0_18:4,C32H54O5
DG 11:0_20:1,C34H64O5
DG 11:0_20:2,C34H62O5
DG 11:0_20:3,C34H60O5
DG 11:0_20:4,C34H58O5
DG 11:0_20:5,C34H56O5
DG 11:0_22:2,C36H66O5
DG 11:0_22:4,C36H62O5
DG 11:0_22:5,C36H60O5
DG 11:0_22:6,C36H58O5
DG 11:0_39:0,C53H104O5
DG 11:2_14:0,C28H50O5
DG 12:0_22:5,C37H62O5
DG 12:0_22:6,C37H60O5
DG 12:0_39:0,C54H106O5
DG 12:1_22:6,C37H58O5
DG 12:1_26:6,C41H66O5
DG 12:1_30:4,C45H78O5
DG 13:0_20:3,C36H64O5
DG 13:0_22:5,C38H64O5
DG 13:0_22:6,C38H62O5
DG 13:0_26:1,C42H80O5
DG 13:0_26:2,C42H78O5
DG 13:0_39:0,C55H108O5
DG 14:0_22:6,C39H64O5
DG 14:0_30:1,C47H90O5
DG 14:0_39:0,C56H110O5
DG 14:1_22:6,C39H62O5
DG 14:1_27:0,C44H84O5
DG 14:1_28:0,C45H86O5
DG 14:1_29:0,C46H88O5
DG 14:1_31:0,C48H92O5
DG 14:1_32:0,C49H94O5
DG 14:1_33:0,C50H96O5
DG 14:1_34:0,C51H98O5
DG 14:1_35:0,C52H100O5
DG 14:1_36:0,C53H102O5
DG 14:1_37:0,C54H104O5
DG 14:1_38:0,C55H106O5
DG 14:1_39:0,C56H108O5
DG 14:2_22:6,C39H60O5
DG 14:3,C17H26O5
DG 14:3_22:6,C39H58O5
DG 15:0_22:6,C40H66O5
DG 15:0_24:4,C42H74O5
DG 15:0_26:2,C44H82O5
DG 15:0_28:6,C46H78O5
DG 15:0_39:0,C57H112O5
DG 15:1_22:6,C40H64O5
DG 15:1_24:4,C42H72O5
DG 15:1_26:2,C44H80O5
DG 15:1_39:0,C57H110O5
DG 15:4,C18H26O5
DG 16:0_26:2,C45H84O5
DG 16:0_26:4,C45H80O5
DG 16:0_34:2,C53H100O5
DG 16:0_39:0,C58H114O5
DG 16:0_41:0,C60H118O5
DG 16:1_26:2,C45H82O5
DG 16:1_28:7,C47H76O5
DG 16:1_28:8,C47H74O5
DG 16:1_32:2,C51H94O5
DG 16:1_34:2,C53H98O5
DG 16:1_39:0,C58H112O5
DG 16:2,C19H32O5
DG 16:3_26:6,C45H70O5
DG 16:4,C19H28O5
DG 17:0_22:6,C42H70O5
DG 17:0_24:4,C44H78O5
DG 17:0_26:2,C46H86O5
DG 17:0_39:0,C59H116O5
DG 17:1_22:2,C42H76O5
DG 17:1_22:6,C42H68O5
DG 17:1_24:4,C44H76O5
DG 17:1_26:2,C46H84O5
DG 17:1_39:0,C59H114O5
DG 17:2_22:6,C42H66O5
DG 17:2_24:4,C44H74O5
DG 17:2_26:2,C46H82O5
DG 17:2_27:0,C47H88O5
DG 17:2_28:0,C48H90O5
DG 17:2_29:0,C49H92O5
DG 17:2_30:0,C50H94O5
DG 17:2_31:0,C51H96O5
DG 17:2_32:0,C52H98O5
DG 17:2_34:0,C54H102O5
DG 17:2_35:0,C55H104O5
DG 17:2_36:0,C56H106O5
DG 17:2_37:0,C57H108O5
DG 17:2_38:0,C58H110O5
DG 17:2_39:0,C59H112O5
DG 18:0,C21H40O5
DG 18:0_26:6,C47H80O5
DG 18:0_29:4,C50H90O5
DG 18:0_29:7,C50H84O5
DG 18:0_36:4,C57H104O5
DG 18:0_38:3,C59H110O5
DG 18:0_38:4,C59H108O5
DG 18:0_40:4,C61H112O5
DG 18:0_40:5,C61H110O5
DG 18:0_40:6,C61H108O5
DG 18:1,C21H38O5
DG 18:1/2:0/0:0,C23H42O5
DG 18:1_24:5,C45H76O5
DG 18:1_24:6,C45H74O5
DG 18:1_26:2,C47H86O5
DG 18:1_36:2,C57H106O5
DG 18:1_38:4,C59H106O5
DG 18:1_39:0,C60H116O5
DG 18:1_40:6,C61H106O5
DG 18:2_22:6,C43H68O5
DG 18:2_24:6,C45H72O5
DG 18:2_26:2,C47H84O5
DG 18:2_27:5,C48H80O5
DG 18:2_39:0,C60H114O5
DG 18:2_41:0,C62H118O5
DG 18:2_42:2,C63H116O5
DG 18:3_20:5,C41H64O5
DG 18:3_22:6,C43H66O5
DG 18:3_26:2,C47H82O5
DG 18:3_27:0,C48H88O5
DG 18:3_28:0,C49H90O5
DG 18:3_29:0,C50H92O5
DG 18:3_31:0,C52H96O5
DG 18:3_33:0,C54H100O5
DG 18:3_34:0,C55H102O5
DG 18:3_35:0,C56H104O5
DG 18:3_37:0,C58H108O5
DG 18:3_39:0,C60H112O5
DG 18:4,C21H32O5
DG 18:4_20:5,C41H62O5
DG 18:4_22:6,C43H64O5
DG 18:4_27:0,C48H86O5
DG 18:4_28:0,C49H88O5
DG 18:4_30:0,C51H92O5
DG 18:4_31:0,C52H94O5
DG 18:4_32:0,C53H96O5
DG 18:4_33:0,C54H98O5
DG 18:4_34:0,C55H100O5
DG 18:4_35:0,C56H102O5
DG 18:4_37:0,C58H106O5
DG 18:4_39:0,C60H110O5
DG 19:0_39:0,C61H120O5
DG 19:1_22:6,C44H72O5
DG 19:4_27:4,C49H80O5
DG 20:0_39:0,C62H122O5
DG 20:1_38:0,C61H118O5
DG 20:1_39:0,C62H120O5
DG 2:0_20:1,C25H46O5
DG 20:2_25:7,C48H76O5
DG 20:2_38:0,C61H116O5
DG 20:3,C23H38O5
DG 20:3_24:4,C47H78O5
