,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
580,102,C9H15NO2,7.997,169.1102,,FBF,94.05,FBF
581,231,C9H12O2,7.997,152.0836,,FBF,94.05,FBF
582,260,C12H14O4,7.114,222.0896,,FBF,94.03,FBF
583,6749,C21H43NO4,7.036,373.319,,FBF,93.99,FBF
584,1782,C41H76O14,10.025,792.5215,,FBF,93.97,FBF
585,523,C10H18O5,5.867,218.1153,,FBF,93.91,FBF
586,478,C23H39NO4,3.969,393.2878,,FBF,93.9,FBF
588,5597,C12H11N5,9.271,225.1017,,FBF,93.76,FBF
589,332,C15H18N4,6.88,254.1522,,FBF,93.7,FBF
592,6276,C10H16O,10.129,152.1202,,FBF,93.42,FBF
594,8252,C39H67NO6S,10.129,677.4706,,FBF,93.37,FBF
595,6933,C41H79NO14,10.051,809.5489,,FBF,93.25,FBF
596,572,C20H40O3,8.959,328.2968,,FBF,93.21,FBF
597,217,C27H29N3O9,3.657,539.1908,,FBF,93.21,FBF
598,4475,C32H48NO10P,14.002,637.3022,,FBF,93.2,FBF
599,6182,C3H10N3O5PS,1.007,231.0081,,FBF,93.18,FBF
633,87,C26H37NO6,7.92,459.2616,,FBF,99.16,FBF
634,717,C8H18O2,13.821,146.1306,,FBF,99.13,FBF
642,59,C6H11NO,1.396,113.0838,,FBF,99.0,FBF
643,5277,C10H18N2O2,0.747,198.1367,,FBF,98.97,FBF
645,154,C10H15NO2,0.747,181.11,,FBF,98.97,FBF
658,421,C20H40,9.012,280.3126,,FBF,98.38,FBF
670,1768,C31H54O9,4.125,570.3759,,FBF,97.78,FBF
671,3820,C30H56NO10P,4.619,621.3641,,FBF,97.7,FBF
678,2253,C31H59NO9,10.207,589.4181,,FBF,97.41,FBF
679,1767,C31H56O9,10.207,572.3914,,FBF,97.41,FBF
694,7125,C29H50O8,3.943,526.3495,,FBF,96.77,FBF
695,5463,C13H23N5O7,2.799,361.1592,,FBF,96.7,FBF
702,582,C19H34O3,12.183,310.2507,,FBF,96.22,FBF
706,1613,C33H58O10,4.281,614.4017,,FBF,95.87,FBF
710,66,C15H27NO5,0.409,301.1889,,FBF,95.72,FBF
711,6032,C15H24O5,0.409,284.1622,,FBF,95.72,FBF
714,3457,C26H45O11P,3.761,564.2688,,FBF,95.63,FBF
715,549,C16H32O4,7.244,288.2291,,FBF,95.56,FBF
719,5392,C16H27N9O5,3.891,425.2149,,FBF,95.36,FBF
720,809,C13H26N4O3,3.293,286.2007,,FBF,95.32,FBF
724,4377,C38H78O12P2,4.75,788.4984,,FBF,95.17,FBF
725,1045,C17H35NO2,9.662,285.2667,,FBF,95.17,FBF
727,1967,C37H66O13S,5.01,750.4225,,FBF,95.13,FBF
728,705,C8H16O,13.821,128.1198,,FBF,95.11,FBF
734,5401,C13H24N6O7,3.371,376.1709,,FBF,94.85,FBF
735,3912,C43H72NO8P,5.036,761.4986,,FBF,94.85,FBF
736,5128,C5H7N5O,2.071,153.0654,,FBF,94.85,FBF
739,808,C10H20N4O3,2.435,244.1543,,FBF,94.61,FBF
740,4786,C44H66NO11P,4.75,815.4375,,FBF,94.48,FBF
741,4703,C37H57O15P,7.244,772.3449,,FBF,94.47,FBF
743,360,C12H22O11,0.409,342.1164,,FBF,94.42,FBF
744,3439,C24H41O10P,3.501,520.2425,,FBF,94.34,FBF
748,5408,C12H24N6O5S,2.643,364.1525,,FBF,94.16,FBF
751,4941,C46H70NO12P,4.854,859.4628,,FBF,93.98,FBF
752,1373,C18H36O6,8.57,348.2511,,FBF,93.94,FBF
753,5083,C8H14N3O7P,4.984,295.0563,,FBF,93.92,FBF
754,2879,C35H53NO7,4.619,599.3822,,FBF,93.92,FBF
756,6855,C29H52N4O3,10.831,504.4021,,FBF,93.87,FBF
757,5544,C16H28N4O7,3.007,388.1948,,FBF,93.81,FBF
758,4127,C47H80NO10P,4.854,849.5527,,FBF,93.73,FBF
759,7117,C27H46O7,3.761,482.3232,,FBF,93.69,FBF
761,6961,C28H46O13,4.489,590.293,,FBF,93.61,FBF
762,4918,C19H32NO11P,3.293,481.1717,,FBF,93.59,FBF
763,1090,C15H29NO5,9.246,303.2055,,FBF,93.58,FBF
764,4438,C32H53O12P,16.03,660.3244,,FBF,93.57,FBF
766,3861,C48H80NO11P,5.218,877.5477,,FBF,93.38,FBF
768,4509,C45H84O15P2,5.27,926.5266,,FBF,93.22,FBF
769,3418,C43H69O8P,4.671,744.4732,,FBF,93.16,FBF
772,4794,C49H84NO11P,4.906,893.5783,,FBF,93.09,FBF
773,3888,C42H68NO11P,4.75,793.4538,,FBF,92.99,FBF
774,2642,C37H68O12,10.103,704.4688,,FBF,92.98,FBF
779,2003,C43H70O13S,4.75,826.455,,FBF,92.72,FBF
781,56,C9H18N2O2,0.695,186.1368,,FBF,92.62,FBF
782,5365,C18H27N3O5,7.244,365.194,,FBF,92.6,FBF
783,3894,C50H78NO11P,5.218,899.5302,,FBF,92.6,FBF
784,4499,C50H75O11P,5.218,882.5026,,FBF,92.6,FBF
786,5717,C11H18N4O2,0.435,238.1418,,FBF,92.55,FBF
787,3582,C45H67O8P,4.671,766.4563,,FBF,92.53,FBF
788,5558,C16H29N5O5,3.371,371.2158,,FBF,92.47,FBF
789,2212,C33H58O11S,4.802,662.3719,,FBF,92.44,FBF
791,1957,C35H62O12S,4.906,706.397,,FBF,92.36,FBF
792,5322,C21H38N4O8,3.371,474.2671,,FBF,92.27,FBF
793,2148,C43H64O12S,4.671,804.4116,,FBF,92.26,FBF
794,6904,C19H28O5S,7.244,368.1649,,FBF,92.21,FBF
795,5370,C16H23N3O5,3.345,337.1623,,FBF,92.19,FBF
796,2633,C35H64O11,10.103,660.4432,,FBF,92.16,FBF
797,6710,C34H55N2O6P,4.932,618.3803,,FBF,92.15,FBF
798,564,C21H32O3,12.287,332.2338,,FBF,92.09,FBF
799,5569,C23H28N4O7,11.325,472.1972,,FBF,92.07,FBF
