index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
3590,3593,C10H6O4,0.933,190.0273,,FBF,84.73,FBF,bigmed,"['5,8-dihydroxynaphthalene-1,4-dione', '4-oxochromene-2-carboxylic acid', '2-oxochromene-3-carboxylic acid', '4-oxochromene-3-carboxylic acid', '1,2-bis(furan-2-yl)ethane-1,2-dione']"
1734,1736,C39H66O12,19.015,726.4574,,FBF,84.01,FBF,bigmed,"['(2R,3R,4R,5R,6S)-2-[[(1R,3R,5S,8S,9S,10S,13S,14S,16S,17R)-3-hydroxy-17-[(2S,3S)-3-hydroxy-6-methylhept-5-en-2-yl]-10,13-dimethyl-1-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-16-yl]oxy]-6-methyloxane-3,4,5-triol', '(2R,3R,4R,5R,6S)-2-[[(1R,3R,8S,9S,10R,13S,14S,16S,17R)-3-hydroxy-17-[(2S,3S)-3-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-1-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-16-yl]oxy]-6-methyloxane-3,4,5-triol', '(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5S,6R)-3,5-dihydroxy-2-[[(3S,8S,9S,10R,13S,14S,16S,17R)-3-hydroxy-17-[(2S,3S)-3-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-16-yl]oxy]-6-(hydroxymethyl)oxan-4-yl]oxy-6-methyloxane-3,4,5-triol', '(2S,3R,4R,5R,6S)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-6-[[(3S,8S,9S,10R,13S,14S,16S,17R)-16-hydroxy-17-[(2S,3S)-3-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-2-(hydroxymethyl)oxan-3-yl]oxy-6-methyloxane-3,4,5-triol', '(2S,3S,4S,5S,6R)-2-[[(1R,3R,5S,8S,9S,10S,13S,14S,16S,17R)-3-hydroxy-17-[(2S,3S)-3-hydroxy-6-methylhept-5-en-2-yl]-10,13-dimethyl-1-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-16-yl]oxy]-6-methyloxane-3,4,5-triol']"
3472,3474,C12H21N3O4S,0.933,303.1238,,FBF,83.77,FBF,bigmed,"['(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-methylsulfanyl-4-(4-propyltriazol-1-yl)oxane-3,5-diol', '2-(hydroxymethyl)-6-methylsulfanyl-4-(4-propyltriazol-1-yl)oxane-3,5-diol', '2-[1-(3-tert-butyl-1,2,4-oxadiazol-5-yl)ethylsulfonyl]-N,N-dimethylacetamide', '1-[2-(dimethylamino)-2-(furan-2-yl)ethyl]-3-(2-methylsulfonylethyl)urea', '2-morpholin-4-ylsulfonyl-2,7-diazaspiro[4.5]decan-6-one']"
3398,3400,C12H24N4O4S,0.933,320.1503,,FBF,83.77,FBF,bigmed,"['(2S)-6-amino-2-[[(2S,3R)-3-hydroxy-2-[(2-sulfanylacetyl)amino]butanoyl]amino]hexanamide', '4-acetyl-N-[3-(methanesulfonamido)propyl]-1,4-diazepane-1-carboxamide', '4-acetyl-N-[3-[methyl(methylsulfonyl)amino]propyl]piperazine-1-carboxamide', '3-N-[3-[methyl(methylsulfonyl)amino]propyl]piperidine-1,3-dicarboxamide', '(2R)-2-[[(2S)-6-amino-2-[[(2S)-2-aminopropanoyl]amino]hexanoyl]amino]-3-sulfanylpropanoic acid']"
1278,1280,C43H82O13S,19.067,838.543,,FBF,83.67,FBF,bigmed,[]
3532,3534,C4H11NO3,0.362,121.0736,,FBF,83.41,FBF,bigmed,"['2-amino-2-(hydroxymethyl)propane-1,3-diol', 'N,N,1,1,3,3-hexadeuterio-1,3-dideuteriooxy-2-[dideuterio(deuteriooxy)methyl]propan-2-amine', 'acetic acid;2-aminoethanol', '2-(2-aminooxyethoxy)ethanol', '2-[bis(hydroxymethyl)amino]ethanol']"
3140,3142,C65H108NO11P,18.989,1109.7686,,FBF,83.39,FBF,bigmed,[]
3651,3654,C16H18O5,0.933,290.1161,,FBF,83.29,FBF,bigmed,"['(9E)-13,15-dihydroxy-5-methyl-4-oxabicyclo[10.4.0]hexadeca-1(12),9,13,15-tetraene-3,11-dione', '2,3,8-trihydroxy-7-methoxy-6-methyl-4-propan-2-ylnaphthalene-1-carbaldehyde', '5-[(2-methoxy-4-propylphenoxy)methyl]furan-2-carboxylic acid', '(5S,9E)-13,15-dihydroxy-5-methyl-4-oxabicyclo[10.4.0]hexadeca-1(12),9,13,15-tetraene-3,11-dione', '5,7-dimethoxy-8-(3-methyl-2-oxobutyl)chromen-2-one']"
3031,3033,C47H77O13P,18.989,880.5098,,FBF,83.11,FBF,bigmed,"['[(2R)-1-[hydroxy-[(5R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxy-3-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyl]oxypropan-2-yl] (8Z,11Z,14Z)-icosa-8,11,14-trienoate', '[(2R)-1-[hydroxy-[(5R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropan-2-yl] (5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoate', '[(2R)-3-[hydroxy-[(5R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxy-2-[(6Z,9Z,12Z)-octadeca-6,9,12-trienoyl]oxypropyl] (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate', '[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate', '[1-[(7Z,10Z,13Z)-hexadeca-7,10,13-trienoyl]oxy-3-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxypropan-2-yl] (10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoate']"
633,635,C7H15NO,17.612,129.1145,,FBF,83.01,FBF,bigmed,"['heptanamide', '(NE)-N-heptylidenehydroxylamine', '2-piperidin-1-ylethanol', 'N,N-diethylpropanamide', '4-propan-2-ylmorpholine']"
